"date","hub_id","product_id","quantity_issued"
2017 Jul,"hub_1","product_2",1e-06
2017 Aug,"hub_1","product_2",1900
2017 Sep,"hub_1","product_2",1003
2017 Oct,"hub_1","product_2",1605
2017 Nov,"hub_1","product_2",2400
2017 Dec,"hub_1","product_2",2305
2018 Jan,"hub_1","product_2",4402
2018 Feb,"hub_1","product_2",1504
2018 Mar,"hub_1","product_2",2801
2018 Apr,"hub_1","product_2",900
2018 May,"hub_1","product_2",3048
2018 Jun,"hub_1","product_2",3310
2018 Jul,"hub_1","product_2",200
2018 Aug,"hub_1","product_2",2900
2018 Sep,"hub_1","product_2",1e-06
2018 Oct,"hub_1","product_2",2721
2018 Nov,"hub_1","product_2",1729
2018 Dec,"hub_1","product_2",3228
2019 Jan,"hub_1","product_2",1280
2019 Feb,"hub_1","product_2",1843
2019 Mar,"hub_1","product_2",2347
2019 Apr,"hub_1","product_2",372
2019 May,"hub_1","product_2",1251
2019 Jun,"hub_1","product_2",741
2019 Jul,"hub_1","product_2",204
2019 Aug,"hub_1","product_2",10
2019 Sep,"hub_1","product_2",440
2019 Oct,"hub_1","product_2",1568
2019 Nov,"hub_1","product_2",2781
2019 Dec,"hub_1","product_2",2734
2020 Jan,"hub_1","product_2",1781
2020 Feb,"hub_1","product_2",1238
2020 Mar,"hub_1","product_2",1049
2020 Apr,"hub_1","product_2",1059
2020 May,"hub_1","product_2",3598
2020 Jun,"hub_1","product_2",2317
2020 Jul,"hub_1","product_2",230
2020 Aug,"hub_1","product_2",1364
2020 Sep,"hub_1","product_2",1335
2020 Oct,"hub_1","product_2",2069
2020 Nov,"hub_1","product_2",1367
2020 Dec,"hub_1","product_2",1419
2021 Jan,"hub_1","product_2",1473
2021 Feb,"hub_1","product_2",1077
2021 Mar,"hub_1","product_2",1385
2021 Apr,"hub_1","product_2",468
2021 May,"hub_1","product_2",631
2021 Jun,"hub_1","product_2",1427
2021 Jul,"hub_1","product_2",958
2021 Aug,"hub_1","product_2",1350
2021 Sep,"hub_1","product_2",110
2021 Oct,"hub_1","product_2",2763
2021 Nov,"hub_1","product_2",842
2021 Dec,"hub_1","product_2",1713
2022 Jan,"hub_1","product_2",1605
2022 Feb,"hub_1","product_2",805
