"date","hub_id","product_id","quantity_issued"
2017 Jul,"hub_4","product_1",60
2017 Jul,"hub_4","product_6",5200
2017 Jul,"hub_7","product_1",8
2017 Jul,"hub_7","product_5",120
2017 Jul,"hub_8","product_7",10
2017 Jul,"hub_10","product_1",343
2017 Jul,"hub_10","product_2",53
2017 Jul,"hub_10","product_3",26
2017 Jul,"hub_10","product_4",1710
2017 Jul,"hub_10","product_5",1340
2017 Jul,"hub_10","product_6",24032
2017 Jul,"hub_11","product_1",280
2017 Jul,"hub_11","product_3",30
2017 Jul,"hub_11","product_6",12480
2017 Jul,"hub_11","product_7",20
2017 Jul,"hub_12","product_7",550
2017 Jul,"hub_14","product_5",900
2017 Aug,"hub_1","product_1",721
2017 Aug,"hub_1","product_2",1900
2017 Aug,"hub_1","product_3",138
2017 Aug,"hub_1","product_4",5363
2017 Aug,"hub_1","product_5",6581
2017 Aug,"hub_1","product_6",48244
2017 Aug,"hub_1","product_7",376
2017 Aug,"hub_3","product_1",2280
2017 Aug,"hub_3","product_2",39
2017 Aug,"hub_3","product_3",446
2017 Aug,"hub_3","product_4",15436
2017 Aug,"hub_3","product_5",11137
2017 Aug,"hub_3","product_6",76596
2017 Aug,"hub_3","product_7",642
2017 Aug,"hub_4","product_1",522
2017 Aug,"hub_4","product_5",3640
2017 Aug,"hub_4","product_6",24212
2017 Aug,"hub_4","product_7",297
2017 Aug,"hub_5","product_1",208
2017 Aug,"hub_5","product_2",803
2017 Aug,"hub_5","product_3",14
2017 Aug,"hub_5","product_4",990
2017 Aug,"hub_5","product_5",780
2017 Aug,"hub_5","product_6",4354
2017 Aug,"hub_6","product_1",1604
2017 Aug,"hub_6","product_2",1650
2017 Aug,"hub_6","product_3",32
2017 Aug,"hub_6","product_4",8839
2017 Aug,"hub_6","product_5",12152
2017 Aug,"hub_6","product_6",116198
2017 Aug,"hub_6","product_7",458
2017 Aug,"hub_7","product_1",3003
2017 Aug,"hub_7","product_2",2550
2017 Aug,"hub_7","product_3",178
2017 Aug,"hub_7","product_4",10273
2017 Aug,"hub_7","product_5",5991
2017 Aug,"hub_7","product_6",107917
2017 Aug,"hub_7","product_7",93
2017 Aug,"hub_8","product_1",33
2017 Aug,"hub_8","product_4",100
2017 Aug,"hub_8","product_5",312
2017 Aug,"hub_8","product_6",600
2017 Aug,"hub_8","product_7",428
2017 Aug,"hub_9","product_1",100
2017 Aug,"hub_9","product_2",10
2017 Aug,"hub_9","product_4",160
2017 Aug,"hub_9","product_6",4412
2017 Aug,"hub_9","product_7",12
2017 Aug,"hub_10","product_1",67
2017 Aug,"hub_10","product_2",27
2017 Aug,"hub_10","product_3",165
2017 Aug,"hub_10","product_4",4122
2017 Aug,"hub_10","product_5",2546
2017 Aug,"hub_10","product_6",39212
2017 Aug,"hub_11","product_1",2829
2017 Aug,"hub_11","product_2",73
2017 Aug,"hub_11","product_3",489
2017 Aug,"hub_11","product_4",9597
2017 Aug,"hub_11","product_5",14423
2017 Aug,"hub_11","product_6",140786
2017 Aug,"hub_11","product_7",116
2017 Aug,"hub_12","product_1",310
2017 Aug,"hub_12","product_2",200
2017 Aug,"hub_12","product_3",44
2017 Aug,"hub_12","product_5",4007
2017 Aug,"hub_12","product_6",203020
2017 Aug,"hub_12","product_7",150
2017 Aug,"hub_13","product_2",105
2017 Aug,"hub_13","product_3",10
2017 Aug,"hub_13","product_4",216
2017 Aug,"hub_13","product_5",954
2017 Aug,"hub_13","product_6",475
2017 Aug,"hub_13","product_7",151
2017 Aug,"hub_14","product_1",30
2017 Aug,"hub_14","product_3",3
2017 Aug,"hub_14","product_5",1050
2017 Aug,"hub_14","product_6",3380
2017 Aug,"hub_15","product_1",125
2017 Aug,"hub_15","product_2",600
2017 Aug,"hub_15","product_3",483
2017 Aug,"hub_15","product_4",366
2017 Aug,"hub_15","product_5",2242
2017 Aug,"hub_15","product_6",33783
2017 Aug,"hub_15","product_7",237
2017 Aug,"hub_16","product_1",67
2017 Aug,"hub_16","product_2",216
2017 Aug,"hub_16","product_3",18
2017 Aug,"hub_16","product_4",328
2017 Aug,"hub_16","product_5",1180
2017 Aug,"hub_16","product_6",4
2017 Aug,"hub_16","product_7",20
2017 Aug,"hub_17","product_1",1496
2017 Aug,"hub_17","product_2",1351
2017 Aug,"hub_17","product_3",15
2017 Aug,"hub_17","product_4",4917
2017 Aug,"hub_17","product_5",7656
2017 Aug,"hub_17","product_6",28029
2017 Aug,"hub_17","product_7",455
2017 Aug,"hub_19","product_1",5460
2017 Aug,"hub_19","product_2",38
2017 Aug,"hub_19","product_3",55
2017 Aug,"hub_19","product_4",3363
2017 Aug,"hub_19","product_5",8405
2017 Aug,"hub_19","product_6",16757
2017 Aug,"hub_19","product_7",61
2017 Sep,"hub_1","product_1",795
2017 Sep,"hub_1","product_2",1003
2017 Sep,"hub_1","product_3",43
2017 Sep,"hub_1","product_4",5477
2017 Sep,"hub_1","product_5",5288
2017 Sep,"hub_1","product_6",47453
2017 Sep,"hub_1","product_7",206
2017 Sep,"hub_3","product_1",2060
2017 Sep,"hub_3","product_2",47
2017 Sep,"hub_3","product_3",271
2017 Sep,"hub_3","product_4",3975
2017 Sep,"hub_3","product_5",6457
2017 Sep,"hub_3","product_6",60840
2017 Sep,"hub_4","product_1",2349
2017 Sep,"hub_4","product_4",467
2017 Sep,"hub_4","product_5",3982
2017 Sep,"hub_4","product_6",27660
2017 Sep,"hub_4","product_7",675
2017 Sep,"hub_5","product_1",620
2017 Sep,"hub_5","product_2",1197
2017 Sep,"hub_5","product_3",59
2017 Sep,"hub_5","product_4",2971
2017 Sep,"hub_5","product_5",1730
2017 Sep,"hub_5","product_6",14608
2017 Sep,"hub_6","product_1",3020
2017 Sep,"hub_6","product_2",1452
2017 Sep,"hub_6","product_3",28
2017 Sep,"hub_6","product_4",9209
2017 Sep,"hub_6","product_5",7520
2017 Sep,"hub_6","product_6",168895
2017 Sep,"hub_6","product_7",594
2017 Sep,"hub_7","product_1",1066
2017 Sep,"hub_7","product_2",905
2017 Sep,"hub_7","product_3",40
2017 Sep,"hub_7","product_4",3212
2017 Sep,"hub_7","product_5",566
2017 Sep,"hub_7","product_6",47184
2017 Sep,"hub_7","product_7",136
2017 Sep,"hub_8","product_1",1108
2017 Sep,"hub_8","product_2",2685
2017 Sep,"hub_8","product_3",119
2017 Sep,"hub_8","product_4",8258
2017 Sep,"hub_8","product_5",12480
2017 Sep,"hub_8","product_6",41415
2017 Sep,"hub_8","product_7",26
2017 Sep,"hub_9","product_4",50
2017 Sep,"hub_9","product_7",5
2017 Sep,"hub_10","product_1",127
2017 Sep,"hub_10","product_2",110
2017 Sep,"hub_10","product_3",12
2017 Sep,"hub_10","product_4",728
2017 Sep,"hub_10","product_5",1492
2017 Sep,"hub_10","product_6",13676
2017 Sep,"hub_11","product_1",5792
2017 Sep,"hub_11","product_2",100
2017 Sep,"hub_11","product_3",556
2017 Sep,"hub_11","product_4",7905
2017 Sep,"hub_11","product_5",12335
2017 Sep,"hub_11","product_6",215380
2017 Sep,"hub_11","product_7",60
2017 Sep,"hub_12","product_1",200
2017 Sep,"hub_12","product_7",250
2017 Sep,"hub_13","product_1",420
2017 Sep,"hub_13","product_2",1350
2017 Sep,"hub_13","product_4",3478
2017 Sep,"hub_13","product_5",4684
2017 Sep,"hub_13","product_6",17350
2017 Sep,"hub_13","product_7",50
2017 Sep,"hub_14","product_1",1519
2017 Sep,"hub_14","product_2",5000
2017 Sep,"hub_14","product_3",50
2017 Sep,"hub_14","product_4",11014
2017 Sep,"hub_14","product_5",10895
2017 Sep,"hub_14","product_6",135680
2017 Sep,"hub_14","product_7",374
2017 Sep,"hub_15","product_1",597
2017 Sep,"hub_15","product_2",310
2017 Sep,"hub_15","product_3",5
2017 Sep,"hub_15","product_4",501
2017 Sep,"hub_15","product_5",1489
2017 Sep,"hub_15","product_6",25656
2017 Sep,"hub_15","product_7",155
2017 Sep,"hub_16","product_1",254
2017 Sep,"hub_16","product_2",701
2017 Sep,"hub_16","product_3",18
2017 Sep,"hub_16","product_4",1405
2017 Sep,"hub_16","product_5",1892
2017 Sep,"hub_16","product_7",60
2017 Sep,"hub_17","product_1",1036
2017 Sep,"hub_17","product_2",2142
2017 Sep,"hub_17","product_3",10
2017 Sep,"hub_17","product_4",2770
2017 Sep,"hub_17","product_5",7907
2017 Sep,"hub_17","product_6",24880
2017 Sep,"hub_18","product_4",15
2017 Sep,"hub_18","product_5",66
2017 Sep,"hub_18","product_6",2324
2017 Sep,"hub_18","product_7",9
2017 Sep,"hub_19","product_1",691
2017 Sep,"hub_19","product_2",50
2017 Sep,"hub_19","product_4",200
2017 Sep,"hub_19","product_5",136
2017 Sep,"hub_19","product_6",1500
2017 Sep,"hub_19","product_7",1
2017 Oct,"hub_1","product_1",1720
2017 Oct,"hub_1","product_2",1605
2017 Oct,"hub_1","product_3",88
2017 Oct,"hub_1","product_4",4123
